index,title,description,media,date,polarity,subjectivity,quarter,cluster,cluster_detail,cluster_polarity,cluster_subjectivity,desc_polarity2,desc_subjectivity2,cluster_polarity2,cluster_subjectivity2
32,"['dog', 'coming', 'tacoma', 'protected', 'ballistic', 'vest']","['lot', 'bark', 'tacoma', 'k', '9', 'unit', 'search', 'dog', 'expected', 'join', 'team', 'tacoma', 'kennel', 'club']",KIRO-TV,2019-01-01 00:00:00,-0.1,0.4,Q1,7,tacoma pierce south tpd ellis county statement morning investigate haddow shot street charged cases tribune called identity sheriff wash troyer,0.0,0.0,negative,objective,neutral,objective
33,"['update', '4th', 'avenue', 'blocked', 'sodo', 'shot', 'bus']","['use', '4th', 'avenue', 'south', 'currently', 'closed', 'walker', 'added', 'saturday', 'evening', 'older', 'shot', 'younger']",West Seattle Blog...,2019-01-01 00:00:00,0.022222222222222216,0.14444444444444446,Q1,6,shot says night person fired reported tuesday victim car statement shots spokesperson sunday reports north vehicle told called just oklahoma,-0.07500000000000001,0.05,negative,objective,negative,objective
34,"['dispute', 'missing', 'evidence', 'bertha', 'breakdown', 'go', 'court']","['tunnel', 'partner', 'claim', 'bertha', 'required', '642', 'million', 'repair', 'struck', 'steel', 'pipe', 'december', '2013', 'state', 'adequately', 'disclose']",MyNorthwest.com,2019-01-01 00:00:00,0.3333333333333333,0.3333333333333333,Q1,3,chief precinct county people office king east asked report monday washington times investigating detectives state news mayor reported crimes crime,0.0,0.0,positive,objective,neutral,objective
35,"['kshama', 'sawant', 'file', 'election', 'council']","['2019', 'race', 'district', '3', 'seat', 'council', 'added', 'another', 'contender', 'incumbent', 'kshama', 'sawant']",MyNorthwest.com,2019-01-01 00:00:00,0.0,0.0,Q1,4,council budget members 50 defund cuts cut million voted durkan mayor defunding jenny support proposal kshama cutting sawant 2021 vote,-0.6,0.9,neutral,objective,negative,subjective
36,"['3', 'arrested', 'death', 'homeless', 'found', 'tied', 'tree', 'everett']","['arrested', 'three', 'people', 'thursday', 'connection', 'death', 'everett', 'news', 'release', '33', 'everett']",The Seattle Times,2019-01-01 00:00:00,0.0,0.0,Q1,2,arrested people connection charges thursday suspected wednesday men sunday 13 booked county night death saturday used tuesday robinson park 18,0.0,0.0,neutral,objective,neutral,objective
37,"['next', 'video', 'redmond', 'scrutiny']","['bjorn', 'sarmiento', 'arrived', 'redmond', 'transit', 'center', 'north', 'jan', '16', 'friend', 'excited', 'spend', 'another', 'day', 'skateboarding']",Seattle Weekly,2019-01-01 00:00:00,0.1375,0.425,Q1,3,chief precinct county people office king east asked report monday washington times investigating detectives state news mayor reported crimes crime,0.0,0.0,positive,objective,neutral,objective
38,"['top', '10', 'read', 'article', '2018']","['young', 'jun', 'lim', 'three', 'additional', 'cop', 'seeing', 'recruiting', 'brochure']",Northwest Asian Weekly,2019-01-01 00:00:00,0.1,0.4,Q1,3,chief precinct county people office king east asked report monday washington times investigating detectives state news mayor reported crimes crime,0.0,0.0,positive,objective,neutral,objective
39,"['west', 'block', 'watch', 'captain', 'network', 'talk', 'safety']","['focus', 'emergency', 'preparedness', 'readiness', 'ensure', 'neighbor', 'know', 'take', 'care', 'connect', 'local', 'fire', 'medical', 'resource']",West Seattle Blog...,2019-01-01 00:00:00,0.0,0.0,Q1,3,chief precinct county people office king east asked report monday washington times investigating detectives state news mayor reported crimes crime,0.0,0.0,neutral,objective,neutral,objective
40,"['remembered', 'devoted', 'father']","['june', '2017', 'kent', 'shot', 'giovonn', 'joseph', 'mcdade', '20', 'already', 'begun']",Real Change,2019-01-01 00:00:00,0.0,0.0,Q1,6,shot says night person fired reported tuesday victim car statement shots spokesperson sunday reports north vehicle told called just oklahoma,-0.07500000000000001,0.05,neutral,objective,negative,objective
41,"['24', 'south', 'victim', 'capitol', 'hill', 'deadly']","['person', 'detained', 'questioned', 'arrest', 'asked', 'anybody', 'information', 'homicide']",CHS Capitol Hill Seattle,2019-01-01 00:00:00,-0.05,0.0,Q1,3,chief precinct county people office king east asked report monday washington times investigating detectives state news mayor reported crimes crime,0.0,0.0,negative,objective,neutral,objective
42,"['35th', 'sw', 'phase', '2', 'update', '3', 'intersection']","['notably', 'several', 'collision', 'report', 'coded', 'enough', 'information', 'dataset', 'team', 'working']",West Seattle Blog...,2019-01-01 00:00:00,0.0,0.25,Q1,3,chief precinct county people office king east asked report monday washington times investigating detectives state news mayor reported crimes crime,0.0,0.0,neutral,objective,neutral,objective
43,"['owner', 'foundation', 'nightclub', 'arrested', 'conspiracy', 'charge']","['drug', 'purchased', 'employee', 'drug', 'dealer', 'introduced', 'undercover', 'employee', 'seized', '829']",KOMO,2019-01-01 00:00:00,0.0,0.0,Q1,3,chief precinct county people office king east asked report monday washington times investigating detectives state news mayor reported crimes crime,0.0,0.0,neutral,objective,neutral,objective
44,"['dori', 'vagrant', 'return', 'northgate', 'camp', 'week', 'pricey', 'cleanup']","['photo', 'courtesy', 'layoff', 'todd', 'herman', 'todd', 'herman', 'show', 'note', '7', '9', '2021', 'interim', 'chief', 'adrian', 'diaz']",MyNorthwest.com,2019-01-01 00:00:00,0.0,0.0,Q1,3,chief precinct county people office king east asked report monday washington times investigating detectives state news mayor reported crimes crime,0.0,0.0,neutral,objective,neutral,objective
45,"['project', 'street', 'camper', 'business', 'want', 'answer']","['public', 'utility', 'traffic', 'enforcement', 'showed', 'monday', 'morning', 'camp', 'growing', 'size']",KOMO,2019-01-01 00:00:00,0.0,0.06666666666666667,Q1,3,chief precinct county people office king east asked report monday washington times investigating detectives state news mayor reported crimes crime,0.0,0.0,neutral,objective,neutral,objective
46,"['report', 'coyote', 'ballard', 'got', 'drunk', 'craft', 'beer']","['analysis', 'drawn', 'incident', 'report', 'filed', 'since', '2008', 'response', 'cataloged', 'beat', '17', 'geographic', 'designation']",Seattle PI,2019-01-01 00:00:00,0.0,0.0,Q1,3,chief precinct county people office king east asked report monday washington times investigating detectives state news mayor reported crimes crime,0.0,0.0,neutral,objective,neutral,objective
47,"['cold', 'operation', 'tsunami', 'designed', 'provoke', 'suspect', 'susan', 'powell', 'case']","['west', 'valley', 'investigating', '2009', 'disappearance', 'susan', 'cox', 'powell', 'exhausted', 'nearly', 'conventional', 'tactic', 'success']",MyNorthwest.com,2019-01-01 00:00:00,-0.08095238095238098,0.3523809523809524,Q1,3,chief precinct county people office king east asked report monday washington times investigating detectives state news mayor reported crimes crime,0.0,0.0,negative,objective,neutral,objective
48,"['berlin', 'seize', '3', 'hitler', 'painting', 'possible', 'fake']","['spokesman', 'martin', 'halweg', 'friday', 'painting', 'seized', 'auction', 'house', 'german', 'capital', 'berlin', 'received']",The Seattle Times,2019-01-01 00:00:00,0.0,0.0,Q1,3,chief precinct county people office king east asked report monday washington times investigating detectives state news mayor reported crimes crime,0.0,0.0,neutral,objective,neutral,objective
49,"['second', 'trial', 'begin', 'brother', 'accused', 'fatal', 'jungle', '2016']","['also', 'paid', '700', 'exchange', 'help', 'norman', 'norman', 'criticized', 'investigation']",The Seattle Times,2019-01-01 00:00:00,0.0,0.0,Q1,5,investigation team force county conducting home group posted led family king detectives leading office night collision images tukwila lake stolen,0.0,0.0,neutral,objective,neutral,objective
50,"['urban', 'indigenous', 'community', 'push', 'action', 'address']","['contacted', 'mother', 'remained', 'missing', 'day', 'later', '21', 'daybreak', 'star', 'indian', 'cultural', 'center', 'wsp']",Seattle Weekly,2019-01-01 00:00:00,-0.05,0.0625,Q1,3,chief precinct county people office king east asked report monday washington times investigating detectives state news mayor reported crimes crime,0.0,0.0,negative,objective,neutral,objective
51,"['arrest', 'teen', 'suspected', 'stealing', 'gun', 'lynnwood', 'gun', 'store']","['lynwood', 'received', 'support', 'edmonds', 'everett', 'search', 'suspect', 'cox', 'medium', 'group']",KIRO-TV,2019-01-01 00:00:00,0.0,0.0,Q1,3,chief precinct county people office king east asked report monday washington times investigating detectives state news mayor reported crimes crime,0.0,0.0,neutral,objective,neutral,objective
52,"['broken', 'grandfather', 'want', 'answer', 'teen', 'shot', 'death', 'walmart', 'parking', 'lot']","['renton', 'told', 'kiro', '7', 'monday', 'arrest', 'additional', 'detail', 'would', 'released', 'yet', 'avoid', 'jeopardizing']",KIRO-TV,2019-01-01 00:00:00,-0.05,0.0,Q1,3,chief precinct county people office king east asked report monday washington times investigating detectives state news mayor reported crimes crime,0.0,0.0,negative,objective,neutral,objective
53,"['blaine', 'teacher', 'accused', 'kicking', 'student', 'acted']","['teacher', 'arrested', 'kicking', '7', 'student', 'disability', 'acting', 'class', 'blaine']",KIRO-TV,2019-01-01 00:00:00,0.0,0.0,Q1,2,arrested people connection charges thursday suspected wednesday men sunday 13 booked county night death saturday used tuesday robinson park 18,0.0,0.0,neutral,objective,neutral,objective
54,"['ocean', 'shore', 'free', 'seal', 'trapped', 'fishing', 'net']","['working', 'ocean', 'shore', '14', 'sgt', 'kyle', 'watson', 'responded', 'kind', 'help']",KING 5,2019-01-01 00:00:00,0.6,0.9,Q1,3,chief precinct county people office king east asked report monday washington times investigating detectives state news mayor reported crimes crime,0.0,0.0,positive,subjective,neutral,objective
55,"['september', 'fire', 'everett', 'appliance', 'store', 'determined', 'arson']","['anyone', 'information', 'arson', 'potential', 'suspect', 'asked', 'everett', '425', '257', '8450', 'crime', 'stopper']",KIRO-TV,2019-01-01 00:00:00,0.0,1.0,Q1,0,suspect released video car body help scene friday surveillance public camera neighborhood 911 arrested seat everett deadly later responded information,0.0,0.03333333333333333,neutral,subjective,neutral,objective
56,"['2019', 'crowded', 'council', 'race']","['proposal', 'would', 'set', 'area', 'would', 'enforce', 'homelessness', 'camping', 'regulation', 'strictly', 'group', 'safe']",Seattle Weekly,2019-01-01 00:00:00,0.5,0.5,Q1,3,chief precinct county people office king east asked report monday washington times investigating detectives state news mayor reported crimes crime,0.0,0.0,positive,subjective,neutral,objective
57,"['pedestrian', 'part', 'play', 'squeeze']","['however', 'becoming', 'uncommon', 'issue', 'ticket', 'jaywalking', '2010', '2017', 'issued', '1', '753', 'citation', 'total']",KING 5,2019-01-01 00:00:00,0.4166666666666667,0.8666666666666667,Q1,3,chief precinct county people office king east asked report monday washington times investigating detectives state news mayor reported crimes crime,0.0,0.0,positive,subjective,neutral,objective
58,"['update', 'white', 'nationalist', 'group', 'flyer', 'strewn', 'west']","['someone', 'littered', 'multiple', 'west', 'neighborhood', 'overnight', 'flyer', 'finder', 'reported', 'tell', 'wsb', 'coming', 'pick']",West Seattle Blog...,2019-01-01 00:00:00,0.0,0.0,Q1,3,chief precinct county people office king east asked report monday washington times investigating detectives state news mayor reported crimes crime,0.0,0.0,neutral,objective,neutral,objective
59,"['charge', 'harassed', 'assaulted', 'lesbian', 'couple', 'seahawks', 'game']","['rolled', 'updated', 'micro', 'community', 'policing', 'plan', 'crime', 'data', 'neighborhood', 'agency', 'released', 'crime']",Seattle PI,2019-01-01 00:00:00,0.0,0.0,Q1,3,chief precinct county people office king east asked report monday washington times investigating detectives state news mayor reported crimes crime,0.0,0.0,neutral,objective,neutral,objective
60,"['ted', 'bundy', 'subject', 'netflix', 'documentary', 'series', 'feature', 'film', 'sundance']","['several', 'detective', 'king', 'county', 'site', 'early', 'childhood', 'university', 'district']",KING 5,2019-01-01 00:00:00,0.05,0.15,Q1,3,chief precinct county people office king east asked report monday washington times investigating detectives state news mayor reported crimes crime,0.0,0.0,negative,objective,neutral,objective
61,"['85', 'c', 'bakery', 'café', 'destroy', 'id', 'bakery']","['international', 'district', 'id', 'long', 'known', 'asian', 'case', 'study', 'conducted', '1999', 'described']",Northwest Asian Weekly,2019-01-01 00:00:00,-0.016666666666666666,0.13333333333333333,Q1,3,chief precinct county people office king east asked report monday washington times investigating detectives state news mayor reported crimes crime,0.0,0.0,negative,objective,neutral,objective
62,"['lawsuit', 'former', 'bellingham', 'assaulted', 'without', 'provocation']","['detailed', 'federal', 'complaint', 'jacob', 'esparza', 'fired', 'bellingham', '2016', 'arrested', 'connection']",Seattle PI,2019-01-01 00:00:00,0.05000000000000002,0.475,Q1,2,arrested people connection charges thursday suspected wednesday men sunday 13 booked county night death saturday used tuesday robinson park 18,0.0,0.0,negative,objective,neutral,objective
63,"['lax', 'washington', 'oversight', 'bounty', 'hunter', 'set', 'stage']","['gribble', 'action', 'quickly', 'drew', 'scrutiny', 'king', 'county', 'even', 'history', 'violence', 'time', 'investigation', 'found']",The Seattle Times,2019-01-01 00:00:00,0.21666666666666667,0.3,Q1,5,investigation team force county conducting home group posted led family king detectives leading office night collision images tukwila lake stolen,0.0,0.0,positive,objective,neutral,objective
64,"['dori', 'kirkland', 'pd', 'exonerated', 'menchie', 'incident', 'drama']","['kirkland', 'finished', 'investigation', 'menchie', 'incident', 'calling', 'white', 'supremacist', 'area']",MyNorthwest.com,2019-01-01 00:00:00,0.0,0.0,Q1,5,investigation team force county conducting home group posted led family king detectives leading office night collision images tukwila lake stolen,0.0,0.0,neutral,objective,neutral,objective
65,"['coyote', 'bathroom', 'critter', 'run', 'nashville', 'convention', 'center']","['metropolitan', 'nashville', 'sunday', 'jan', '13', '2019', 'photo', 'provided', 'metropolitan', 'nashville', 'metropolitan', 'nashville']",The Seattle Times,2019-01-01 00:00:00,0.0,0.0,Q1,3,chief precinct county people office king east asked report monday washington times investigating detectives state news mayor reported crimes crime,0.0,0.0,neutral,objective,neutral,objective
66,"['teen', 'missing', 'nearly', 'kept', 'sex', 'slave', 'trailer']","['petersburg', 'morning', 'investigation', 'matter', 'ongoing', 'report', '2018', '020363']",Q13 FOX,2019-01-01 00:00:00,0.0,0.0,Q1,5,investigation team force county conducting home group posted led family king detectives leading office night collision images tukwila lake stolen,0.0,0.0,neutral,objective,neutral,objective
67,"['sodo', 'georgetown', 'see', '31', 'percent', 'rise', 'crime']","['compared', 'mere', '1', 'percent', 'citywide', 'rise', 'report', 'time', 'told', 'go', 'kid', 'glove', 'come']",MyNorthwest.com,2019-01-01 00:00:00,-0.5,0.5,Q1,3,chief precinct county people office king east asked report monday washington times investigating detectives state news mayor reported crimes crime,0.0,0.0,negative,subjective,neutral,objective
68,"['recent', 'violent', 'crime', 'spree', 'u', 'district']","['recent', 'spree', 'violent', 'crime', 'university', 'district', 'university', 'washington', 'keep']",KIRO-TV,2019-01-01 00:00:00,-0.4,0.625,Q1,3,chief precinct county people office king east asked report monday washington times investigating detectives state news mayor reported crimes crime,0.0,0.0,negative,subjective,neutral,objective
69,"['arrested', 'accused', 'throwing', 'hot', 'coffee', 'south', 'carolina', 'mcdonald', 'worker']","['camden', 'arrest', 'warrant', 'issued', 'joshua', 'emery', 'noel', 'assault', 'battery', 'second', 'degree', 'received', 'several']",KOMO,2019-01-01 00:00:00,-0.016666666666666666,0.0,Q1,3,chief precinct county people office king east asked report monday washington times investigating detectives state news mayor reported crimes crime,0.0,0.0,negative,objective,neutral,objective
70,"['rantz', 'outrage', 'federal', 'way', 'school', 'pull', 'horrific', 'school']","['video', 'made', 'partnership', 'federal', 'way', 'originally', 'intended', 'shown', 'student', 'kindergarten', 'fifth', 'grade']",MyNorthwest.com,2019-01-01 00:00:00,0.375,0.75,Q1,3,chief precinct county people office king east asked report monday washington times investigating detectives state news mayor reported crimes crime,0.0,0.0,positive,subjective,neutral,objective
71,"['accused', 'bellevue', 'chief', 'rape', 'show', 'court']","['specific', 'criminal', 'allegation', 'mylett', 'made', 'public', 'investigation', 'handled', 'bothell', 'crime']",MyNorthwest.com,2019-01-01 00:00:00,-0.13333333333333333,0.24722222222222223,Q1,5,investigation team force county conducting home group posted led family king detectives leading office night collision images tukwila lake stolen,0.0,0.0,negative,objective,neutral,objective
