,title,desc,date,quarter,cluster
45,"['report', 'coyote', 'ballard', 'got', 'drunk', 'craft', 'beer']","['analysis', 'drawn', 'incident', 'report', 'filed', 'since', '2008', 'response', 'cataloged', 'beat', '17', 'geographic', 'designation']",2019-01-01 00:00:00,Q1,3
46,"['cold', 'operation', 'tsunami', 'designed', 'provoke', 'suspect', 'susan', 'powell', 'case']","['west', 'valley', 'investigating', '2009', 'disappearance', 'susan', 'cox', 'powell', 'exhausted', 'nearly', 'conventional', 'tactic', 'success']",2019-01-01 00:00:00,Q1,3
47,"['berlin', 'seize', '3', 'hitler', 'painting', 'possible', 'fake']","['spokesman', 'martin', 'halweg', 'friday', 'painting', 'seized', 'auction', 'house', 'german', 'capital', 'berlin', 'received']",2019-01-01 00:00:00,Q1,3
48,"['second', 'trial', 'begin', 'brother', 'accused', 'fatal', 'jungle', '2016']","['also', 'paid', '700', 'exchange', 'help', 'norman', 'norman', 'criticized', 'investigation']",2019-01-01 00:00:00,Q1,5
49,"['urban', 'indigenous', 'community', 'push', 'action', 'address']","['contacted', 'mother', 'remained', 'missing', 'day', 'later', '21', 'daybreak', 'star', 'indian', 'cultural', 'center', 'wsp']",2019-01-01 00:00:00,Q1,3
50,"['arrest', 'teen', 'suspected', 'stealing', 'gun', 'lynnwood', 'gun', 'store']","['lynwood', 'received', 'support', 'edmonds', 'everett', 'search', 'suspect', 'cox', 'medium', 'group']",2019-01-01 00:00:00,Q1,3
51,"['broken', 'grandfather', 'want', 'answer', 'teen', 'shot', 'death', 'walmart', 'parking', 'lot']","['renton', 'told', 'kiro', '7', 'monday', 'arrest', 'additional', 'detail', 'would', 'released', 'yet', 'avoid', 'jeopardizing']",2019-01-01 00:00:00,Q1,3
52,"['blaine', 'teacher', 'accused', 'kicking', 'student', 'acted']","['teacher', 'arrested', 'kicking', '7', 'student', 'disability', 'acting', 'class', 'blaine']",2019-01-01 00:00:00,Q1,2
53,"['ocean', 'shore', 'free', 'seal', 'trapped', 'fishing', 'net']","['working', 'ocean', 'shore', '14', 'sgt', 'kyle', 'watson', 'responded', 'kind', 'help']",2019-01-01 00:00:00,Q1,3
54,"['september', 'fire', 'everett', 'appliance', 'store', 'determined', 'arson']","['anyone', 'information', 'arson', 'potential', 'suspect', 'asked', 'everett', '425', '257', '8450', 'crime', 'stopper']",2019-01-01 00:00:00,Q1,0
55,"['2019', 'crowded', 'council', 'race']","['proposal', 'would', 'set', 'area', 'would', 'enforce', 'homelessness', 'camping', 'regulation', 'strictly', 'group', 'safe']",2019-01-01 00:00:00,Q1,3
56,"['pedestrian', 'part', 'play', 'squeeze']","['however', 'becoming', 'uncommon', 'issue', 'ticket', 'jaywalking', '2010', '2017', 'issued', '1', '753', 'citation', 'total']",2019-01-01 00:00:00,Q1,3
57,"['update', 'white', 'nationalist', 'group', 'flyer', 'strewn', 'west']","['someone', 'littered', 'multiple', 'west', 'neighborhood', 'overnight', 'flyer', 'finder', 'reported', 'tell', 'wsb', 'coming', 'pick']",2019-01-01 00:00:00,Q1,3
58,"['charge', 'harassed', 'assaulted', 'lesbian', 'couple', 'seahawks', 'game']","['rolled', 'updated', 'micro', 'community', 'policing', 'plan', 'crime', 'data', 'neighborhood', 'agency', 'released', 'crime']",2019-01-01 00:00:00,Q1,3
59,"['ted', 'bundy', 'subject', 'netflix', 'documentary', 'series', 'feature', 'film', 'sundance']","['several', 'detective', 'king', 'county', 'site', 'early', 'childhood', 'university', 'district']",2019-01-01 00:00:00,Q1,3
60,"['85', 'c', 'bakery', 'café', 'destroy', 'id', 'bakery']","['international', 'district', 'id', 'long', 'known', 'asian', 'case', 'study', 'conducted', '1999', 'described']",2019-01-01 00:00:00,Q1,3
61,"['lawsuit', 'former', 'bellingham', 'assaulted', 'without', 'provocation']","['detailed', 'federal', 'complaint', 'jacob', 'esparza', 'fired', 'bellingham', '2016', 'arrested', 'connection']",2019-01-01 00:00:00,Q1,2
62,"['lax', 'washington', 'oversight', 'bounty', 'hunter', 'set', 'stage']","['gribble', 'action', 'quickly', 'drew', 'scrutiny', 'king', 'county', 'even', 'history', 'violence', 'time', 'investigation', 'found']",2019-01-01 00:00:00,Q1,5
63,"['dori', 'kirkland', 'pd', 'exonerated', 'menchie', 'incident', 'drama']","['kirkland', 'finished', 'investigation', 'menchie', 'incident', 'calling', 'white', 'supremacist', 'area']",2019-01-01 00:00:00,Q1,5
64,"['coyote', 'bathroom', 'critter', 'run', 'nashville', 'convention', 'center']","['metropolitan', 'nashville', 'sunday', 'jan', '13', '2019', 'photo', 'provided', 'metropolitan', 'nashville', 'metropolitan', 'nashville']",2019-01-01 00:00:00,Q1,3
65,"['teen', 'missing', 'nearly', 'kept', 'sex', 'slave', 'trailer']","['petersburg', 'morning', 'investigation', 'matter', 'ongoing', 'report', '2018', '020363']",2019-01-01 00:00:00,Q1,5
66,"['sodo', 'georgetown', 'see', '31', 'percent', 'rise', 'crime']","['compared', 'mere', '1', 'percent', 'citywide', 'rise', 'report', 'time', 'told', 'go', 'kid', 'glove', 'come']",2019-01-01 00:00:00,Q1,3
67,"['recent', 'violent', 'crime', 'spree', 'u', 'district']","['recent', 'spree', 'violent', 'crime', 'university', 'district', 'university', 'washington', 'keep']",2019-01-01 00:00:00,Q1,3
68,"['arrested', 'accused', 'throwing', 'hot', 'coffee', 'south', 'carolina', 'mcdonald', 'worker']","['camden', 'arrest', 'warrant', 'issued', 'joshua', 'emery', 'noel', 'assault', 'battery', 'second', 'degree', 'received', 'several']",2019-01-01 00:00:00,Q1,3
69,"['rantz', 'outrage', 'federal', 'way', 'school', 'pull', 'horrific', 'school']","['video', 'made', 'partnership', 'federal', 'way', 'originally', 'intended', 'shown', 'student', 'kindergarten', 'fifth', 'grade']",2019-01-01 00:00:00,Q1,3
70,"['accused', 'bellevue', 'chief', 'rape', 'show', 'court']","['specific', 'criminal', 'allegation', 'mylett', 'made', 'public', 'investigation', 'handled', 'bothell', 'crime']",2019-01-01 00:00:00,Q1,5
71,"['judge', 'c', 'kimi', 'kondo', 'retirement']","['28', 'service', 'municipal', 'court', 'judge', 'c', 'kimi', 'formulating', 'revised', 'training', 'protocol']",2019-01-01 00:00:00,Q1,3
72,"['cold', 'plotted', 'introduce', 'josh', 'powell', 'undercover']","['microsoft', 'job', 'required', 'josh', 'powell', 'commute', 'south', 'hill', 'bellevue', 'took', 'sounder', 'train', 'puyallup', 'used', 'shuttle']",2019-01-01 00:00:00,Q1,3
73,"['90', 'day', 'fiance', 'figure', 'accused', 'attacking', 'husband', 'vega']","['undated', 'clark', 'county', 'detention', 'center', 'clark', 'county', 'detention', 'center', 'la', 'vega', 'metropolitan', 'via', 'ap']",2019-01-01 00:00:00,Q1,3
74,"['trying', 'figure', 'people', 'want', 'trump', 'border', 'wall']","['photo', 'courtesy', 'layoff', 'todd', 'herman', 'todd', 'herman', 'show', 'note', '7', '9', '2021', 'interim', 'chief', 'adrian', 'diaz']",2019-01-01 00:00:00,Q1,3
75,"['sound', 'transit', 'boast', '70', 'percent', 'completion', 'rate', 'northgate']","['service', 'shoreline', 'mountlake', 'terrace', 'lynnwood', 'kent', 'de', 'moines', 'federal', 'way', 'downtown', 'redmond', 'planned', 'begin', '2024', 'following', 'west']",2019-01-01 00:00:00,Q1,3
76,"['music', 'festival', 'facing', 'interesting', 'time', 'look']","['complained', 'increased', 'fee', 'include', 'hourly', 'fee', 'assigned', 'directly', 'event']",2019-01-01 00:00:00,Q1,3
77,"['teen', 'burien', 'arrested', 'armed', 'robbery', 'carjacking']","['bellevue', 'arrested', '16', 'crime', 'spree', 'started', 'related', 'study', 'show', 'fear', 'crime', 'mostly', 'head']",2019-01-01 00:00:00,Q1,2
78,"['king', 'county', 'sheriff', 'seek', 'information', 'death', '53', 'south']","['thursday', 'help', 'identifying', 'person', 'shot', '53', 'related', 'seek', '2018', 'west', 'slaying']",2019-01-01 00:00:00,Q1,6
79,"['union', 'quickly', 'back', 'probe', 'begin', 'fatal', 'north']","['hour', 'fatally', 'shot', 'suspected', 'killing', 'early', 'force', 'investigation', 'team', 'fit', 'probing', 'use']",2019-02-01 00:00:00,Q1,1
80,"['chicago', 'chief', 'angry', 'alleged', 'smollett', 'hoax']","['johnson', 'led', 'violence', 'neighborhood', 'spiked', 'recently', 'pointed', 'double', 'digit', 'decrease', 'gun', 'violence', 'past']",2019-02-01 00:00:00,Q1,3
81,"['judge', 'dismisses', 'defamation', 'lawsuit', 'kshama', 'sawant', 'filed', '2', 'brutal', 'murder', 'comment']","['finally', 'councilmember', 'sawant', 'statement', 'referred', 'broadly', 'systematic', 'brutality', 'racial']",2019-02-01 00:00:00,Q1,3
82,"['sign', 'contract', 'army', 'hope', 'recruitment']","['army', 'value', 'align', 'well', 'value', 'best', 'room', 'filled', 'soldier']",2019-02-01 00:00:00,Q1,3
83,"['report', 'use', 'low', 'level', 'force', 'racial', 'disparity', 'remains']","['report', 'show', '83', 'percent', 'use', 'force', 'incident', 'involved', 'lowest', 'type', 'pointing', 'gun', 'using', 'soft']",2019-02-01 00:00:00,Q1,1
84,"['bicyclist', 'hit', 'run', 'crash', 'near', 'rainier', 'beach']","['near', 'rainier', 'beach', 'monday', 'struck', 'driver', 'drove', 'statement']",2019-02-01 00:00:00,Q1,3
85,"['arizona', 'accused', 'killing', 'service', 'dog', 'dumping']","['photo', 'released', 'friday', 'march', '1', '2019', 'scottsdale', 'scottsdale', 'via', 'ap']",2019-02-01 00:00:00,Q1,3
86,"['custody', 'chase', 'standoff', '5', 'near', 'lakewood']","['taken', 'custody', 'hourlong', 'standoff', 'interstate', '5', 'near', 'lakewood', 'pierce', 'county', 'lakewood']",2019-02-01 00:00:00,Q1,3
87,"['donation', 'give', 'k9', 'bullet', 'stab', 'protective', 'vest']","['k9', 'boggs', 'receive', 'bullet', 'stab', 'protective', 'vest', 'thanks', 'charitable', 'donation', 'vested']",2019-02-01 00:00:00,Q1,3
88,"['arrest', 'rate', 'rape', 'washington', 'state', 'underwhelming']","['recent', 'propublica', 'national', 'study', 'reviewed', 'rape', 'data', 'three', 'jurisdiction', 'washington', 'state', 'including']",2019-02-01 00:00:00,Q1,3
89,"['duvall', 'get', 'snowball', 'fight', 'kid', 'snowstorm']","['grabbed', 'tactical', 'shield', 'engaged', 'fun', 'major', 'winter', 'storm', 'blanketed', 'part', 'washington', 'state', 'member', 'duvall']",2019-02-01 00:00:00,Q1,3
90,"['fatally', 'shot', 'everett', 'jack', 'box', 'parking', 'lot']","['block', 'evergreen', 'way', 'everett', 'statement', 'time', 'staff', 'reporter', 'jim', 'brunner', 'contributed', 'report']",2019-02-01 00:00:00,Q1,3
91,"['north', 'homicide', 'victim', 'suspected', 'killer', 'fatally', 'shot', 'identified']","['request', 'king', 'county', 'sheriff', 'office', 'investigating', 'fatal', 'involved', 'sara', 'jean', 'green', '515']",2019-02-01 00:00:00,Q1,3
92,"['release', 'sketch', 'think', 'tried', 'kidnap', 'capitol', 'hill']","['1', 'suspect', 'slowly', 'drove', 'statement', 'parked', 'ordered', 'get']",2019-02-01 00:00:00,Q1,0
93,"['report', 'seahawks', 'sale', 'chaired', 'jody', 'allen']","['jody', 'allen', 'also', 'chair', 'vulcan', 'based', 'company', 'overseen', 'paul', 'allen', 'business', 'philanthropic', 'activity']",2019-02-01 00:00:00,Q1,3
94,"['prioritize', 'fund', 'clearing', 'rape', 'kit', 'backlog']","['tumwater', 'raped', 'jan', '22', '2018', 'day', 'received', 'dna', 'testing', 'result', 'rape', 'evidence', 'kit', 'collected', 'six', 'month']",2019-02-01 00:00:00,Q1,3
95,"['dy', 'exposure', 'shelter', 'brace', 'worse', 'weather']","['however', 'even', 'week', 'snowfall', 'community', 'team', 'regularly', 'reaching', 'people', 'living', 'vehicle']",2019-02-01 00:00:00,Q1,3
96,"['bremerton', 'arrest', 'suspected', 'killing', 'boyfriend', 'attempting', 'cover']","['attempting', 'cover', 'bremerton', 'suspect', '49', '59', 'david', 'krazel', 'early']",2019-02-01 00:00:00,Q1,0
97,"['suspect', 'charged', 'massive', 'lumberyard', 'fire', '3', 'arson']","['estimate', 'fire', 'caused', '4', 'million', 'damage', 'washington', 'state', 'crime', 'lab', 'matched', 'hooper', 'dna']",2019-02-01 00:00:00,Q1,3
98,"['tim', 'eyman', 'investigation', 'theft', '70', 'chair', 'office', 'depot']","['lacey', 'referred', 'allegation', 'prosecutor', 'possible', 'yet', 'received', 'referral', 'three']",2019-02-01 00:00:00,Q1,3
99,"['dy', 'checked', 'king', 'county', 'jail']","['arrested', 'sunday', 'alleged', 'drug', 'violation', 'also', 'conduct', 'independent', 'investigation']",2019-02-01 00:00:00,Q1,2
100,"['investigating', 'found', 'shot', 'dead', 'inside', 'vehicle', 'auburn']","['auburn', 'investigating', '18', 'found', 'shot', 'dead', 'vehicle', 'sunday', 'night', 'received']",2019-02-01 00:00:00,Q1,6
101,"['downed', 'tree', 'power', 'reported', 'puget', 'sound', 'area', 'outage', 'continue']","['kirkland', 'told', 'people', 'avoid', 'heavily', 'wooded', 'area', 'due', 'light', '1', '000', 'customer', 'without', 'power', '11', '30']",2019-02-01 00:00:00,Q1,3
102,"['stabbed', 'chinatown', 'international', 'district']","['recovering', 'stabbed', 'apartment', 'building', 'chinatown', 'international', 'district']",2019-03-01 00:00:00,Q1,3
103,"['council', 'approves', '15', '000', 'hiring', 'bonus', 'trained', '7', '500', 'recruit']","['measure', 'stipulation', 'recruit', 'part', 'amendment', 'sponsored', 'councilmember', 'lorena', 'gonzalez', 'extra', 'money', 'help']",2019-03-01 00:00:00,Q1,3
104,"['major', 'prostitution', 'bust', 'raid', '11', 'massage', 'parlor', 'freeing', '26']","['tom', 'umporowicz', 'vice', 'high', 'risk', 'victim', 'section', 'much', 'money', 'involved']",2019-03-01 00:00:00,Q1,3
105,"['look', 'suspected', 'voyeurism', 'university', 'district']","['oftentimes', 'tapping', 'window', 'get', 'victim', 'attention', 'masturbating', 'statement']",2019-03-01 00:00:00,Q1,3
106,"['begin', 'bonus', 'program', 'try', 'hire', '100']","['mayor', 'jenny', 'durkan', 'signed', 'legislation', 'monday', 'approving', 'bonus', 'program', 'pay', '15', '000', 'coming']",2019-03-01 00:00:00,Q1,3
107,"['release', 'video', 'capitol', 'hill', 'standoff', 'ended', 'shot']","['screen', 'grab', 'body', 'camera', 'footage', 'involved', 'tuesday', 'capitol', 'hill']",2019-03-01 00:00:00,Q1,3
108,"['investigate', 'pioneer', 'square', 'incident', 'injured', 'people']","['authority', 'alerted', 'incident', '911', 'around', '2', '15', 'sunday', 'near', 'second', 'avenue', 'south', 'south', 'washington', 'street']",2019-03-01 00:00:00,Q1,3
109,"['six', 'facing', 'charge', 'following', '3', 'sexual', 'exploitation']","['receiving', 'complaint', 'vice', 'high', 'risk', 'victim', 'section', 'investigated', 'business', 'determined']",2019-03-01 00:00:00,Q1,3
110,"['lost', 'finest', 'kittitas', 'county', 'deputy', 'shot', 'dead', 'tuesday', 'night', 'father', 'three']","['injured', 'kittitas', 'identified', '22', 'benito', 'chavez', 'chavez', 'airlifted', 'harborview', 'medical', 'center', 'around', '11']",2019-03-01 00:00:00,Q1,3
111,"['rescue', '26', 'sex', 'worker', 'want']","['along', 'fbi', 'homeland', 'security', 'arrested', 'five', 'people', 'rescued', '26', 'victim', 'sex']",2019-03-01 00:00:00,Q1,2
112,"['id', 'suspect', 'victim', 'deadly', 'dallas', 'hit', 'run']","['time', 'append', 'comment', 'thread', 'story', 'wire', 'service', 'associated', 'press', 'york', 'time', 'washington', 'post']",2019-03-01 00:00:00,Q1,3
113,"['26', 'rescued', 'human', 'trafficking', 'prostitution', 'bust']","['busted', 'human', 'trafficking', 'prostitution', 'ring', 'run', 'encountering', 'captain', 'mike', 'edward']",2019-03-01 00:00:00,Q1,3
114,"['identify', 'involved', 'capitol', 'hill']","['identified', 'four', 'fired', 'weapon', 'confrontation', 'gun', 'wielding', 'capitol', 'hill', 'earlier']",2019-03-01 00:00:00,Q1,3
115,"['31', 'second', 'scuffle', 'handcuffed', 'cost', 'nearly', '160', '000']","['paid', 'nearly', '160', '000', 'settle', 'federal', 'filed', 'alonzo', 'price', 'holt', 'zsolt', 'dornay']",2019-03-01 00:00:00,Q1,3
116,"['narcotic', 'detection', 'k', '9', 'join', 'puyallup']","['otto', 'came', 'courtesy', 'washington', 'state', 'correction', 'k', '9', 'program', 'otto', 'made', 'debut', 'alongside', 'bond', 'last', 'week']",2019-03-01 00:00:00,Q1,3
117,"['shelton', 'searching', 'suspect', 'stabbing']","['shelton', 'searching', 'suspect', 'stabbing', 'viaduct', 'demolition', 'noise', 'start', 'rumbling', 'waterfront', 'investigation', 'launched']",2019-03-01 00:00:00,Q1,5
118,"['11', 'missing', 'found']","['update', 'zoe', 'burn', 'found', 'safe', 'reunited', 'family']",2019-03-01 00:00:00,Q1,3
119,"['baby', 'found', 'frozen', 'ditch', 'haunted', 'sd', 'town', '38', 'arrested', 'mother']","['arrested', 'mother', 'friday', 'sioux', 'fall', 'announced', 'believe', 'found']",2019-03-01 00:00:00,Q1,2
120,"['thousand', 'pill', 'seized', 'suspected', 'xanax', 'dealer']","['seized', 'thousand', 'xanax', 'pill', 'suspected', 'drug', 'dealer', 'south', 'thursday']",2019-03-01 00:00:00,Q1,3
121,"['long', 'recovery', 'injured', 'kittitas', 'released', 'hospital']","['kittitas', 'benito', 'chavez', 'released', 'harborview', 'medical', 'center', 'thankful']",2019-03-01 00:00:00,Q1,3
122,"['shot', 'injured', '5', 'people', 'downtown', '2016', 'sentenced', '9']","['alrick', 'hollingsworth', 'jr', 'pictured', 'photo', 'provided']",2019-03-01 00:00:00,Q1,3
