,title,media,date,desc,link,Local,quarter,cluster
54,September fire at Everett appliance store determined to be arson,KIRO-TV,2019-01-01 00:00:00,Anyone with information about the arson or potential suspect(s) is asked to call the Everett Police Department Tip Line at (425) 257-8450 or Crime Stoppers ...,https://www.kiro7.com/news/local/september-fire-at-everett-appliance-store-determined-to-be-arson/905430462/,0,Q1,0
55,2019 Will Be a Crowded Year for Seattle City Council Races,Seattle Weekly,2019-01-01 00:00:00,One such proposal would set up areas in which police would not enforce homelessness camping regulations as strictly. Groups such as Safe Seattle have been ...,https://www.seattleweekly.com/news/2019-will-be-a-crowded-year-for-seattle-city-council-races/,0,Q1,3
56,Pedestrians have a part to play during the 'Seattle squeeze',KING 5,2019-01-01 00:00:00,"However, it's becoming more uncommon for Seattle police to issue ticket for jaywalking. Between 2010 to 2017, SPD issued 1,753 citations with the totals ...",https://www.king5.com/article/news/crossing-in-a-do-not-walk-not-so-fast/281-d003a659-041f-4639-b2ec-55e61f343670,0,Q1,3
57,UPDATE: White-nationalist group's flyers strewn in West ...,West Seattle Blog...,2019-01-01 00:00:00,Someone littered multiple West Seattle neighborhoods overnight with flyers ... One finder reported it to SPD and tells WSB that police were coming to pick ...,https://westseattleblog.com/2019/01/white-nationalist-groups-flyers-strewn-in-west-seattle-neighborhoods/,0,Q1,3
58,"Charges: Man harassed, assaulted lesbian couple at Seahawks game",Seattle PI,2019-01-01 00:00:00,The Seattle Police Department rolled out its updated Micro Community Policing Plans and crime data for each neighborhood. The agency released crime ...,https://www.seattlepi.com/local/crime/article/Charges-Man-harassed-assaulted-lesbian-couple-13518357.php,0,Q1,3
59,"Ted Bundy subject of Netflix documentary series, feature film at Sundance",KING 5,2019-01-01 00:00:00,"... several police detectives from King County and the Seattle Police Department. ... the site of his early childhood, and Seattle's University District, ...",https://www.king5.com/article/news/ted-bundy-subject-of-netflix-documentary-series-feature-film-at-sundance/281-421cdf8e-4d48-4da7-af4d-c4cc5aa331dc,0,Q1,3
60,Will 85°C Bakery Café destroy ID bakeries?,Northwest Asian Weekly,2019-01-01 00:00:00,Seattle's International District (ID) has long been known as a haven for Asian ... A case study conducted by the Seattle Police Department in 1999 described ...,https://nwasianweekly.com/2019/01/will-85c-bakery-cafe-destroy-id-bakeries/,0,Q1,3
61,Lawsuit: Former Bellingham police officer assaulted man without provocation,Seattle PI,2019-01-01 00:00:00,"As detailed in the federal complaint, Officer Jacob Esparza was fired from the Bellingham Police Department in 2016 after he was arrested in connection with ...",https://www.seattlepi.com/seattlenews/article/Lawsuit-Bellingham-police-officer-assaulted-man-13518680.php,0,Q1,2
62,Lax Washington oversight of bounty hunters sets stage for ...,The Seattle Times,2019-01-01 00:00:00,"Gribble's actions quickly drew the scrutiny of police and King County ... even if they have a history of violence, a Seattle Times investigation has found.",https://www.seattletimes.com/seattle-news/times-watchdog/high-adrenaline-bounty-hunter-industry-operates-with-little-oversight-despite-concerns-over-training-tactics/,0,Q1,5
63,Dori: Kirkland PD exonerated in Menchie’s incident — is the drama over?,MyNorthwest.com,2019-01-01 00:00:00,The Kirkland Police Department finished its investigation into the Menchie's incident. ... calling out “white supremacists” in the Seattle area?,https://mynorthwest.com/1242774/dori-kirkland-pd-menchies/,0,Q1,5
64,Coyote in the bathroom! Critter runs into Nashville convention center,The Seattle Times,2019-01-01 00:00:00,"... the Metropolitan Nashville Police This Sunday, Jan. 13, 2019, photo provided by the Metropolitan Nashville... (Metropolitan Nashville Police Department ...",https://www.seattletimes.com/nation-world/nation/coyote-in-the-bathroom-critter-runs-into-convention-center/,0,Q1,3
65,"Teen missing for nearly a year was kept as 'sex slave' in trailer, police say",Q13 FOX,2019-01-01 00:00:00,Petersburg Police Department this morning. The investigation into this matter is ongoing. Report 2018-020363 ...,https://www.q13fox.com/news/teen-missing-for-nearly-a-year-was-kept-as-sex-slave-in-trailer-police-say,0,Q1,5
66,SoDo and Georgetown see 31 percent rise in crime,MyNorthwest.com,2019-01-01 00:00:00,"... compared to the mere 1 percent citywide rise, reports The Seattle Times. ... “The police have been told to go with kid gloves when it comes to ...",https://mynorthwest.com/1248336/sodo-georgetown-crime-seattle/,0,Q1,3
67,Recent violent crime spree in the U-District,KIRO-TV,2019-01-01 00:00:00,"SEATTLE — A recent spree of violent crimes in Seattle's University District ... According to the University of Washington Police Department, which keeps its ...",https://www.kiro7.com/news/local/recent-violent-crime-spree-in-the-u-district/912886385/,0,Q1,3
68,Arrested: Man accused of throwing hot coffee at South Carolina McDonald's worker,KOMO,2019-01-01 00:00:00,The Camden Police Department said an arrest warrant was issued for Joshua Emery Noel for assault and battery second degree after they received several tips ...,https://komonews.com/news/offbeat/arrested-man-accused-of-throwing-hot-coffee-at-south-carolina-mcdonalds-worker,0,Q1,3
69,"Rantz: After outrage, Federal Way schools pull 'horrific' school ...",MyNorthwest.com,2019-01-01 00:00:00,"The video, made in partnership with the Federal Way Police Department, was originally intended to shown to students from Kindergarten through fifth grade.",https://mynorthwest.com/1260135/rantz-after-outrage-federal-way-schools-pull-horrific-school-shooter-training-video/?,0,Q1,3
70,Woman who accused Bellevue police chief of rape a no-show in court,MyNorthwest.com,2019-01-01 00:00:00,"The specific criminal allegations against Mylett were not made public, but the investigation was handled by the Bothell Police Department, where the crime ...",https://mynorthwest.com/1231640/idunn-schneider-no-show-court-bellevue-police-chief/,0,Q1,5
71,Judge C. Kimi Kondo retirement - Seattle,Northwest Asian Weekly,2019-01-01 00:00:00,"After 28 years of service with the Seattle Municipal Court, Judge C. Kimi ... formulating revised training protocols for the Seattle Police Department as a ...",https://nwasianweekly.com/2019/01/judge-c-kimi-kondo-retirement/,0,Q1,3
72,‘Cold’: Police plotted to introduce Josh Powell to woman undercover,MyNorthwest.com,2019-01-01 00:00:00,"The Microsoft job required Josh Powell to commute between South Hill and Bellevue. He took the Sounder train from Puyallup to Seattle, then used a shuttle to ...",https://mynorthwest.com/1245400/police-plotted-josh-powell-undercover-woman/?,0,Q1,3
73,’90 Day Fiance’ figure accused of attacking husband in Vegas,The Seattle Times,2019-01-01 00:00:00,This undated Clark County Detention Center... (Clark County Detention Center/Las Vegas Metropolitan Police Department via AP),https://www.seattletimes.com/entertainment/90-day-fiance-figure-accused-of-attacking-husband-in-vegas/,0,Q1,3
74,Trying to figure out why people want Trump’s border wall,MyNorthwest.com,2019-01-01 00:00:00,"(Photo courtesy of Seattle Police Department, SPD layoffs Todd Herman Todd Herman Show Notes: 7.9.2021 · Seattle Interim Police Chief Adrian Diaz, SPD ...",https://mynorthwest.com/1236518/trying-to-figure-out-why-people-want-trumps-border-wall/?,0,Q1,3
75,Sound Transit boasts 70 percent completion rate on Northgate line,MyNorthwest.com,2019-01-01 00:00:00,"Service to Shoreline, Mountlake Terrace, Lynnwood, Kent/Des Moines, Federal Way and downtown Redmond is planned to begin in 2024. Following that is West Seattle ...",https://mynorthwest.com/1248132/sound-transit-boasts-70-percent-northgate-line/?,0,Q1,3
76,"With music festivals facing 'interesting time,' Seattle looks at ...",CHS Capitol Hill Seattle,2019-01-01 00:00:00,... complained that the city's increased fees for Seattle Police and Seattle ... to include an hourly fee for each SPD officer assigned directly to events ...,https://www.capitolhillseattle.com/2019/01/with-music-festivals-facing-interesting-time-seattle-looks-at-keeping-costs-down-for-events-like-capitol-hill-block-party/,0,Q1,3
77,Teens in Burien arrested after armed robberies and carjacking,MyNorthwest.com,2019-01-01 00:00:00,Bellevue police arrested two 16-year-olds after a crime spree they say started with a ... RELATED: Study shows fear of Seattle crime is mostly in your head.,https://mynorthwest.com/1250567/burien-teens-crime-spree-robberies-carjacking/,0,Q1,2
78,King County Sheriff seeks any information in shooting death of 53-year-old man south of Seattle,Seattle PI,2019-01-01 00:00:00,Police on Thursday were asking for help in identifying the person who shot and killed a 53-year-old ... RELATED: SPD seeks tips on 2018 West Seattle slaying.,https://www.seattlepi.com/local/crime/article/Sheriff-seeks-any-information-in-shooting-of-13542440.php,0,Q1,6
79,Police union quickly backs officers as probe begins into man’s fatal shooting in North Seattle,The Seattle Times,2019-02-01 00:00:00,Hours after Seattle police fatally shot a man suspected in a killing early ... The Police Department's Force Investigation Team (FIT) was probing the use of ...,https://www.seattletimes.com/seattle-news/crime/man-fatally-shot-by-officers-after-stabbing-woman-to-death-in-north-seattle-police-way/,0,Q1,1
80,Chicago police chief angry over alleged Smollett hoax,The Seattle Times,2019-02-01 00:00:00,Johnson has led the police department as violence in some neighborhoods spiked. He recently pointed to double-digit decreases in gun violence over the past ...,https://www.seattletimes.com/entertainment/chicago-police-chief-angry-over-alleged-smollett-hoax/,0,Q1,3
81,Judge dismisses defamation lawsuit against Kshama Sawant filed by 2 police officers over ‘brutal murder’ comments,The Seattle Times,2019-02-01 00:00:00,"“Finally, Councilmember Sawant's statements referred broadly to 'the police,' the 'Seattle Police Department,' and 'systematic police brutality and racial ...",https://www.seattletimes.com/seattle-news/crime/judge-dismisses-defamation-lawsuit-against-kshama-sawant-filed-by-2-police-officers-over-brutal-murder-comments/,0,Q1,3
82,Seattle Police sign contract with Army with hopes of more recruitment,KOMO,2019-02-01 00:00:00,"These are the Army values and they align well with our Seattle Police Department values,” Best said to a room filled with officers and soldiers.",https://komonews.com/news/local/seattle-police-sign-contract-with-army-with-hopes-of-more-recruitment,0,Q1,3
83,"Report: Seattle police use low levels of force, but racial disparity remains",The Seattle Times,2019-02-01 00:00:00,"The new report from the police department shows that 83 percent of the use-of-force incidents involved the lowest type, such as pointing a gun or using “soft ...",https://www.seattletimes.com/seattle-news/report-seattle-police-use-low-levels-of-force-but-racial-disparity-remains/,0,Q1,1
84,Bicyclist killed in hit-and-run crash near Rainier Beach,The Seattle Times,2019-02-01 00:00:00,"... was killed near Rainier Beach Monday after being struck by a driver who then drove off, according to a statement from the Seattle Police Department.",https://www.seattletimes.com/seattle-news/bicyclist-killed-in-hit-and-run-crash-near-rainier-beach/,0,Q1,3
85,"Arizona man accused of killing his service dog, dumping it",The Seattle Times,2019-02-01 00:00:00,"In this photo released Friday, March 1, 2019, by the Scottsdale Police Department... (Scottsdale Police Department via AP)",https://www.seattletimes.com/nation-world/nation/arizona-man-accused-of-killing-his-service-dog-dumping-it/,0,Q1,3
86,"Man in custody after police chase, standoff on I-5 near Lakewood",The Seattle Times,2019-02-01 00:00:00,"... taken into custody after an hourlong standoff with police on Interstate 5 near Lakewood in Pierce County, according to the Lakewood Police Department.",https://www.seattletimes.com/seattle-news/i-5-shut-down-near-lakewood-due-to-police-standoff-with-man-holding-knife/,0,Q1,3
